Method,Iteration,Error,Next_Error,Ratio_e(k+1)/e(k),Type
Gradient Descent,0,2.1853014978329292e-05,2.1835969151518257e-05,0.9992199782580139,Slow/Sublinear
Gradient Descent,1,2.1835969151518257e-05,2.1818936554398945e-05,0.9992199752160696,Slow/Sublinear
Gradient Descent,2,2.1818936554398945e-05,2.1801917352402097e-05,0.9992199802243145,Slow/Sublinear
Gradient Descent,3,2.1801917352402097e-05,2.1784911363307277e-05,0.9992199773616262,Slow/Sublinear
Gradient Descent,4,2.1784911363307277e-05,2.1767918737437256e-05,0.9992199818678789,Slow/Sublinear
Gradient Descent,5,2.1767918737437256e-05,2.1750939307609185e-05,0.9992199791797789,Slow/Sublinear
BFGS,0,0.030427754613713946,0.001174383994639801,0.03859581522030877,Superlinear
BFGS,1,0.001174383994639801,0.00170053260196225,1.4480209281835672,Superlinear
BFGS,2,0.00170053260196225,0.00013442797651568164,0.07905051415101642,Superlinear
BFGS,3,0.00013442797651568164,1.010081313455739e-06,0.00751392187576303,Superlinear
BFGS,4,1.010081313455739e-06,1.7437377536237054e-10,0.0001726334039046746,Superlinear
BFGS,5,1.7437377536237054e-10,6.79155911521093e-13,0.0038948282794862574,Superlinear
Newton,0,0.25181280538556056,0.1758285412803098,0.698250992482657,Superlinear
Newton,1,0.1758285412803098,0.034279628718308926,0.19496054775122984,Superlinear
Newton,2,0.034279628718308926,0.014422310886691925,0.42072541115326884,Superlinear
Newton,3,0.014422310886691925,0.00018214111630239795,0.012629121486381716,Superlinear
Newton,4,0.00018214111630239795,1.1735606313539898e-06,0.006443139556724785,Superlinear
Newton,5,1.1735606313539898e-06,1.2165119381179673e-12,1.0365991373742764e-06,Superlinear
