k,x1,x2,f(x),||grad f||
0,-1.2,1.0,24.199999999999996,232.86768775422664
1,-1.1752808988764043,1.3806741573033705,4.731884325266608,232.86768775422664
2,-0.9329814276197946,0.811210655796924,4.087398662072151,4.639426214066757
3,-0.7825400789708454,0.5897363758123823,3.22867258862195,28.550080477673887
4,-0.6212685990203191,0.34864988219157955,2.767825864554101,11.57152086420155
5,-0.4297415292545751,0.14799516351300873,2.178722290132431,14.574860278625577
6,-0.2582382045696203,0.03727357992134808,1.6696781327914028,11.73983194019538
7,-0.07542590523653109,-0.027731269606700845,1.2682327687524775,8.090800166723144
8,0.06452938864675817,-0.015423442286833497,0.9134722187708726,7.393038599925906
9,0.25476247643921235,0.02871529171038864,0.6863406439391702,4.148610949666788
10,0.3452288946397261,0.11099881687213686,0.43542326889280064,7.563921976481934
11,0.4693874433402898,0.2008171403390884,0.31960367415099833,1.6466339946283672
12,0.5776428829040052,0.32195205997451704,0.19211959343676255,4.6892256596050625
13,0.7039515883734487,0.4795939496961348,0.1130973196958957,2.9941218075521308
14,0.7745944200056757,0.5950061058429099,0.053298094351057076,5.039116631636768
15,0.8874053995563018,0.774762026054508,0.028873458760305292,1.4819184707209418
16,0.919164562997574,0.8438548494080318,0.006636104240544234,4.990100670049963
17,0.9864305141676459,0.9685204510942318,0.002231429363337071,0.29059935301029943
18,0.9935538220770361,0.9870984558483147,4.1810679954761645e-05,1.977405945881111
19,0.9999352394422787,0.9998297605908977,1.7002602938466682e-07,0.012485616510678565
20,0.999999476818846,0.9999989495115252,2.754212709925819e-13,0.018094953593799118
21,0.9999999999995682,0.9999999999988627,7.682025128905186e-24,1.0228264027938973e-06
